malaffi_code,malaffi_description,hms_name,is_default
1,Abu Dhabi,Abu Dhabi,
2,Dubai,Dubai,
3,Sharjah,Sharjah,
4,Ajman,Ajman,
5,Ras al Khaimah,Ras al Khaimah,
6,Fujairah,Fujairah,
7,Um Al Quwain,Um Al Quwain,
