"sex","year","month","L","M","S","SD","length","stature","Pre_1","Per_3","Per_5","Per_10","Per_15","Per_25","Per_50","Per_75","Per_85","Per_90","Per_95","Per_97","Per_99","chart_type"
"M",0,0,1,49.8842,0.03795,1.8931,,,45.5,46.3,46.8,47.5,47.9,48.6,49.9,51.2,51.8,52.3,53,53.4,54.3,"L"
"M",0,1,1,54.7244,0.03557,1.9465,,,50.2,51.1,51.5,52.2,52.7,53.4,54.7,56,56.7,57.2,57.9,58.4,59.3,"L"
"M",0,2,1,58.4249,0.03424,2.0005,,,53.8,54.7,55.1,55.9,56.4,57.1,58.4,59.8,60.5,61,61.7,62.2,63.1,"L"
"M",0,3,1,61.4292,0.03328,2.0444,,,56.7,57.6,58.1,58.8,59.3,60.1,61.4,62.8,63.5,64,64.8,65.3,66.2,"L"
"M",0,4,1,63.886,0.03257,2.0808,,,59,60,60.5,61.2,61.7,62.5,63.9,65.3,66,66.6,67.3,67.8,68.7,"L"
"M",0,5,1,65.9026,0.03204,2.1115,,,61,61.9,62.4,63.2,63.7,64.5,65.9,67.3,68.1,68.6,69.4,69.9,70.8,"L"
"M",0,6,1,67.6236,0.03165,2.1403,,,62.6,63.6,64.1,64.9,65.4,66.2,67.6,69.1,69.8,70.4,71.1,71.6,72.6,"L"
"M",0,7,1,69.1645,0.03139,2.1711,,,64.1,65.1,65.6,66.4,66.9,67.7,69.2,70.6,71.4,71.9,72.7,73.2,74.2,"L"
"M",0,8,1,70.5994,0.03124,2.2055,,,65.5,66.5,67,67.8,68.3,69.1,70.6,72.1,72.9,73.4,74.2,74.7,75.7,"L"
"M",0,9,1,71.9687,0.03117,2.2433,,,66.8,67.7,68.3,69.1,69.6,70.5,72,73.5,74.3,74.8,75.7,76.2,77.2,"L"
"M",0,10,1,73.2812,0.03118,2.2849,,,68,69,69.5,70.4,70.9,71.7,73.3,74.8,75.6,76.2,77,77.6,78.6,"L"
"M",0,11,1,74.5388,0.03125,2.3293,,,69.1,70.2,70.7,71.6,72.1,73,74.5,76.1,77,77.5,78.4,78.9,80,"L"
"M",1,12,1,75.7488,0.03137,2.3762,,,70.2,71.3,71.8,72.7,73.3,74.1,75.7,77.4,78.2,78.8,79.7,80.2,81.3,"L"
"M",1,13,1,76.9186,0.03154,2.426,,,71.3,72.4,72.9,73.8,74.4,75.3,76.9,78.6,79.4,80,80.9,81.5,82.6,"L"
"M",1,14,1,78.0497,0.03174,2.4773,,,72.3,73.4,74,74.9,75.5,76.4,78,79.7,80.6,81.2,82.1,82.7,83.8,"L"
"M",1,15,1,79.1458,0.03197,2.5303,,,73.3,74.4,75,75.9,76.5,77.4,79.1,80.9,81.8,82.4,83.3,83.9,85,"L"
"M",1,16,1,80.2113,0.03222,2.5844,,,74.2,75.4,76,76.9,77.5,78.5,80.2,82,82.9,83.5,84.5,85.1,86.2,"L"
"M",1,17,1,81.2487,0.0325,2.6406,,,75.1,76.3,76.9,77.9,78.5,79.5,81.2,83,84,84.6,85.6,86.2,87.4,"L"
"M",1,18,1,82.2587,0.03279,2.6973,,,76,77.2,77.8,78.8,79.5,80.4,82.3,84.1,85.1,85.7,86.7,87.3,88.5,"L"
"M",1,19,1,83.2418,0.0331,2.7553,,,76.8,78.1,78.7,79.7,80.4,81.4,83.2,85.1,86.1,86.8,87.8,88.4,89.7,"L"
"M",1,20,1,84.1996,0.03342,2.814,,,77.7,78.9,79.6,80.6,81.3,82.3,84.2,86.1,87.1,87.8,88.8,89.5,90.7,"L"
"M",1,21,1,85.1348,0.03376,2.8742,,,78.4,79.7,80.4,81.5,82.2,83.2,85.1,87.1,88.1,88.8,89.9,90.5,91.8,"L"
"M",1,22,1,86.0477,0.0341,2.9342,,,79.2,80.5,81.2,82.3,83,84.1,86,88,89.1,89.8,90.9,91.6,92.9,"L"
"M",1,23,1,86.941,0.03445,2.9951,,,80,81.3,82,83.1,83.8,84.9,86.9,89,90,90.8,91.9,92.6,93.9,"L"
"M",2,24,1,87.8161,0.03479,3.0551,,,80.7,82.1,82.8,83.9,84.6,85.8,87.8,89.9,91,91.7,92.8,93.6,94.9,"L"
"F",0,0,1,49.1477,0.0379,1.8627,,,44.8,45.6,46.1,46.8,47.2,47.9,49.1,50.4,51.1,51.5,52.2,52.7,53.5,"L"
"F",0,1,1,53.6872,0.0364,1.9542,,,49.1,50,50.5,51.2,51.7,52.4,53.7,55,55.7,56.2,56.9,57.4,58.2,"L"
"F",0,2,1,57.0673,0.03568,2.0362,,,52.3,53.2,53.7,54.5,55,55.7,57.1,58.4,59.2,59.7,60.4,60.9,61.8,"L"
"F",0,3,1,59.8029,0.0352,2.1051,,,54.9,55.8,56.3,57.1,57.6,58.4,59.8,61.2,62,62.5,63.3,63.8,64.7,"L"
"F",0,4,1,62.0899,0.03486,2.1645,,,57.1,58,58.5,59.3,59.8,60.6,62.1,63.5,64.3,64.9,65.7,66.2,67.1,"L"
"F",0,5,1,64.0301,0.03463,2.2174,,,58.9,59.9,60.4,61.2,61.7,62.5,64,65.5,66.3,66.9,67.7,68.2,69.2,"L"
"F",0,6,1,65.7311,0.03448,2.2664,,,60.5,61.5,62,62.8,63.4,64.2,65.7,67.3,68.1,68.6,69.5,70,71,"L"
"F",0,7,1,67.2873,0.03441,2.3154,,,61.9,62.9,63.5,64.3,64.9,65.7,67.3,68.8,69.7,70.3,71.1,71.6,72.7,"L"
"F",0,8,1,68.7498,0.0344,2.365,,,63.2,64.3,64.9,65.7,66.3,67.2,68.7,70.3,71.2,71.8,72.6,73.2,74.3,"L"
"F",0,9,1,70.1435,0.03444,2.4157,,,64.5,65.6,66.2,67,67.6,68.5,70.1,71.8,72.6,73.2,74.1,74.7,75.8,"L"
"F",0,10,1,71.4818,0.03452,2.4676,,,65.7,66.8,67.4,68.3,68.9,69.8,71.5,73.1,74,74.6,75.5,76.1,77.2,"L"
"F",0,11,1,72.771,0.03464,2.5208,,,66.9,68,68.6,69.5,70.2,71.1,72.8,74.5,75.4,76,76.9,77.5,78.6,"L"
"F",1,12,1,74.015,0.03479,2.575,,,68,69.2,69.8,70.7,71.3,72.3,74,75.8,76.7,77.3,78.3,78.9,80,"L"
"F",1,13,1,75.2176,0.03496,2.6296,,,69.1,70.3,70.9,71.8,72.5,73.4,75.2,77,77.9,78.6,79.5,80.2,81.3,"L"
"F",1,14,1,76.3817,0.03514,2.6841,,,70.1,71.3,72,72.9,73.6,74.6,76.4,78.2,79.2,79.8,80.8,81.4,82.6,"L"
"F",1,15,1,77.5099,0.03534,2.7392,,,71.1,72.4,73,74,74.7,75.7,77.5,79.4,80.3,81,82,82.7,83.9,"L"
"F",1,16,1,78.6055,0.03555,2.7944,,,72.1,73.3,74,75,75.7,76.7,78.6,80.5,81.5,82.2,83.2,83.9,85.1,"L"
"F",1,17,1,79.671,0.03576,2.849,,,73,74.3,75,76,76.7,77.7,79.7,81.6,82.6,83.3,84.4,85,86.3,"L"
"F",1,18,1,80.7079,0.03598,2.9039,,,74,75.2,75.9,77,77.7,78.7,80.7,82.7,83.7,84.4,85.5,86.2,87.5,"L"
"F",1,19,1,81.7182,0.0362,2.9582,,,74.8,76.2,76.9,77.9,78.7,79.7,81.7,83.7,84.8,85.5,86.6,87.3,88.6,"L"
"F",1,20,1,82.7036,0.03643,3.0129,,,75.7,77,77.7,78.8,79.6,80.7,82.7,84.7,85.8,86.6,87.7,88.4,89.7,"L"
"F",1,21,1,83.6654,0.03666,3.0672,,,76.5,77.9,78.6,79.7,80.5,81.6,83.7,85.7,86.8,87.6,88.7,89.4,90.8,"L"
"F",1,22,1,84.604,0.03688,3.1202,,,77.3,78.7,79.5,80.6,81.4,82.5,84.6,86.7,87.8,88.6,89.7,90.5,91.9,"L"
"F",1,23,1,85.5202,0.03711,3.1737,,,78.1,79.6,80.3,81.5,82.2,83.4,85.5,87.7,88.8,89.6,90.7,91.5,92.9,"L"
"F",2,24,1,86.4153,0.03734,3.2267,,,78.9,80.3,81.1,82.3,83.1,84.2,86.4,88.6,89.8,90.6,91.7,92.5,93.9,"L"
"M",0,0,-0.3521,2.441,0.09182,,45,,,1.597028518,1.690593749,1.830303285,,2.053702326,2.289757735,2.515338948,,2.710846705,2.824861387,2.89780918,3,"WL"
"M",0,0,-0.3521,2.5244,0.09153,,45.5,,,1.702957417,1.792954672,1.928805392,,2.149314246,2.38617219,2.615766477,,2.817044967,2.935328776,3.011338317,3.1,"WL"
"M",0,0,-0.3521,2.6077,0.09124,,46.5,,,1.918742401,2.00306056,2.132607345,,2.34835311,2.587097922,2.824925474,,3.038262787,3.165635227,3.248240003,3.3,"WL"
"M",0,0,-0.3521,2.6913,0.09094,,47.5,,,2.139283471,2.219514291,2.344442385,,2.556834051,2.797952593,3.044241159,,3.270147404,3.407200737,3.49693518,3.4,"WL"
"M",0,0,-0.3521,2.7755,0.09065,,48.5,,,2.364025965,2.441421905,2.563170915,,2.773593907,3.017679791,3.272646214,,3.511467362,3.65864093,3.755928383,3.5,"WL"
"M",0,0,-0.3521,2.8609,0.09036,,49.5,,,2.59243106,2.667982282,2.78776291,,2.997514515,3.245225583,3.509103506,,3.761071952,3.918675144,4.023835077,3.6,"WL"
"M",0,0,-0.3521,2.948,0.09007,,50.5,,,2.823966844,2.89846365,3.017289051,,3.227549277,3.479567767,3.752613117,,4.01788174,4.18611338,4.299368538,3.7,"WL"
"M",0,0,-0.3521,3.0377,0.08977,,51.5,,,3.058104103,3.132186651,3.250908274,,3.462735881,3.719739648,4.002224198,,4.280884515,4.459845507,4.581326217,3.8,"WL"
"M",0,0,-0.3521,3.1308,0.08948,,52.5,,,3.294322225,3.368517223,3.487856107,,3.702195087,3.964838222,4.257039544,,4.549132322,4.738836361,4.868585555,3.9,"WL"
"M",0,0,-0.3521,3.2276,0.08919,,53.5,,,3.532109837,3.606859589,3.727435106,,3.94512977,4.214033476,4.516224426,,4.821741654,5.022119957,5.160094928,4,"WL"
"M",0,0,-0.3521,3.3278,0.0889,,54.5,,,3.770975175,3.846657516,3.969008144,,4.190815779,4.466562625,4.779002851,,5.097890522,5.308799266,5.454877316,4.1,"WL"
"M",0,0,-0.3521,3.4311,0.08861,,55.5,,,4.010448329,4.087392272,4.211993219,,4.43859789,4.721730669,5.044659815,,5.376817878,5.598043337,5.752026649,4.2,"WL"
"M",0,0,-0.3521,3.5376,0.08831,,56.5,,,4.250088071,4.328584525,4.455860069,,4.687882702,4.978903744,5.312536448,,5.65782066,5.889087035,6.050711037,4.4,"WL"
"M",0,0,-0.3521,3.6477,0.08801,,57.5,,,4.489485537,4.569794994,4.700127546,,4.938133749,5.237504753,5.582026947,,5.940251499,6.181229894,6.350173518,4.5,"WL"
"M",0,0,-0.3521,3.762,0.08771,,58.5,,,4.728267233,4.810625098,4.94436155,,5.188867126,5.497008915,5.85257519,,6.22351642,6.473835067,6.649732739,4.6,"WL"
"M",0,0,-0.3521,3.8814,0.08741,,59.5,,,4.966096999,5.050717205,5.188173227,,5.439647821,5.756939907,6.123671792,,6.507072866,6.766328167,6.94878282,4.8,"WL"
"M",0,0,-0.3521,4.006,0.08711,,60.5,,,5.202677038,5.289754427,5.431217262,,5.690086611,6.016866693,6.394851791,,6.790428163,7.058196003,7.246792315,4.9,"WL"
"M",0,0,-0.3521,4.1354,0.08681,,61.5,,,5.437748497,5.527460202,5.673190232,,5.939837222,6.276400575,6.66569255,,7.073138226,7.348985362,7.543302768,5.1,"WL"
"M",0,0,-0.3521,4.2693,0.08651,,62.5,,,5.671089001,5.763595946,5.91382859,,6.18859526,6.535195541,6.935815081,,7.354807872,7.638300762,7.837923511,5.3,"WL"
"M",0,0,-0.3521,4.4066,0.08621,,63.5,,,5.902515543,5.997962236,6.152907479,,6.436093976,6.792942366,7.204878803,,7.635088323,7.925804423,8.130333399,5.4,"WL"
"M",0,0,-0.3521,4.5467,0.08592,,64.5,,,6.131880558,6.230395557,6.390238592,,6.682104069,7.049370425,7.472584314,,7.9136782,8.211213607,8.420274027,5.6,"WL"
"M",0,0,-0.3521,4.6892,0.08563,,65.5,,,6.359068402,6.460765369,6.625668165,,6.926433317,7.304248994,7.738675499,,8.190324128,8.494298133,8.707543698,5.8,"WL"
"M",0,0,-0.3521,4.8338,0.08535,,66.5,,,6.583997561,6.688974915,6.859075839,,7.168922842,7.557381995,8.002934684,,8.46481824,8.774880112,8.991998822,5.9,"WL"
"M",0,0,-0.3521,4.9796,0.08507,,67.5,,,6.806616368,6.914957848,7.090372671,,7.409447317,7.808610136,8.26518536,,8.736998815,9.052831095,9.27354736,6.1,"WL"
"M",0,0,-0.3521,5.1259,0.08481,,68.5,,,7.026901165,7.138676485,7.319499566,,7.647913807,8.057810266,8.525291839,,9.006749431,9.328070124,9.552145587,6.3,"WL"
"M",0,0,-0.3521,5.2721,0.08455,,69.5,,,7.244856495,7.360121388,7.54642602,,7.884259416,8.304892397,8.783156413,,9.273996989,9.600562566,9.827797569,6.5,"WL"
"M",0,0,-0.3521,5.418,0.0843,,70.5,,,7.460510099,7.579307642,7.771148283,,8.118452209,8.549802669,9.038722435,,9.53871203,9.870316803,10.10054839,6.6,"WL"
"M",0,0,-0.3521,5.5632,0.08406,,71.5,,,7.67391364,7.796274848,7.993688292,,8.350488663,8.792519752,9.291970609,,9.800906186,10.13738322,10.37048464,6.8,"WL"
"M",0,0,-0.3521,5.7074,0.08383,,72.5,,,7.885140184,8.011085035,8.214092237,,8.580393153,9.033054944,9.542918966,,10.06063106,10.40185184,10.63773097,7,"WL"
"M",0,0,-0.3521,5.8501,0.08362,,73.5,,,8.094284811,8.223822595,8.432429492,,8.808215482,9.271448675,9.791619211,,10.31797568,10.66385133,10.90245061,7.2,"WL"
"M",0,0,-0.3521,5.9907,0.08342,,74.5,,,8.301459453,8.434590571,8.648791006,,9.034032141,9.507773605,10.03815952,,10.57306631,10.92354547,11.16483888,7.3,"WL"
"M",0,0,-0.3521,6.1284,0.08324,,75.5,,,8.506795026,8.643511567,8.863288423,,9.257942887,9.742129356,10.28265908,,10.82606321,11.18113275,11.42512564,7.5,"WL"
"M",0,0,-0.3521,6.2632,0.08308,,76.5,,,8.710439238,8.850725924,9.076052776,,9.480070094,9.974642178,10.52526749,,11.07715916,11.43684424,11.68357247,7.7,"WL"
"M",0,0,-0.3521,6.3954,0.08292,,77.5,,,8.912555531,9.056390619,9.287233301,,9.700557381,10.20546331,10.76616287,,11.32657755,11.69094178,11.94047127,7.8,"WL"
"M",0,0,-0.3521,6.5251,0.08279,,78.5,,,9.113322086,9.260678201,9.496996252,,9.91956818,10.43476723,11.00554988,,11.57457043,11.94371638,12.19614287,8,"WL"
"M",0,0,-0.3521,6.6527,0.08266,,79.5,,,9.312930869,9.463775754,9.705523721,,10.13728428,10.66274993,11.24365775,,11.8214166,12.19548652,12.45093578,8.1,"WL"
"M",0,0,-0.3521,6.7786,0.08255,,80.5,,,9.511586717,9.665883884,9.913012453,,10.35390433,10.88962699,11.48073815,,12.06741962,12.44659654,12.70522492,8.3,"WL"
"M",0,0,-0.3521,6.9028,0.08245,,81.5,,,9.709506461,9.867215725,10.11967266,,10.5696423,11.11563177,11.71706321,,12.31290587,12.69741505,12.9594104,8.4,"WL"
"M",0,0,-0.3521,7.0255,0.08236,,82.5,,,9.90691806,10.06799596,10.32572684,,10.78472594,11.34101346,11.95292329,,12.55822265,12.94833337,13.21391629,8.6,"WL"
"M",0,0,-0.3521,7.1467,0.08229,,83.5,,,10.10405976,10.26845983,10.53140858,,10.99939524,11.56603512,12.18862496,,12.8037362,13.19976391,13.46918953,8.7,"WL"
"M",0,0,-0.3521,7.2666,0.08223,,84.5,,,10.30117927,10.46885221,10.73696139,,11.21390081,11.79097176,12.42448873,,13.04982974,13.45213869,13.7256987,8.9,"WL"
"M",0,0,-0.3521,7.3854,0.08218,,85.5,,,10.49853295,10.66942663,10.94263752,,11.42850232,12.01610828,12.66084697,,13.29690152,13.70590772,13.98393299,9,"WL"
"M",0,0,-0.3521,7.5034,0.08215,,86.5,,,10.69638497,10.87044435,11.14869679,,11.64346692,12.24173753,12.89804158,,13.5453628,13.96153752,14.24440109,9.1,"WL"
"M",0,0,-0.3521,7.6206,0.08213,,87.5,,,10.89500657,11.07217344,11.35540546,,11.85906768,12.46815824,13.13642183,,13.79563586,14.21950956,14.50763019,9.3,"WL"
"M",0,0,-0.3521,7.737,0.08212,,88.5,,,11.0946752,11.27488782,11.56303507,,12.07558197,12.69567298,13.37634196,,14.04815191,14.48031873,14.77416503,9.4,"WL"
"M",0,0,-0.3521,7.8526,0.08212,,89.5,,,11.29567376,11.47886643,11.77186133,,12.29328999,12.92458613,13.6181589,,14.30334895,14.74447181,15.044567,9.6,"WL"
"M",0,0,-0.3521,7.9674,0.08214,,90.5,,,11.49828978,11.68439228,11.98216306,,12.51247319,13.15520182,13.86222981,,14.56166964,15.01248591,15.31941326,9.7,"WL"
"M",0,0,-0.3521,8.0816,0.08216,,91.5,,,11.70281463,11.89175157,12.19422113,,12.73341284,13.38782185,14.10890963,,14.82355899,15.28488689,15.59929608,9.8,"WL"
"M",0,0,-0.3521,8.1955,0.08219,,92.5,,,11.90954225,12.10123261,12.4083174,,12.95638887,13.6227442,14.35854899,,15.08946216,15.5622076,15.88482163,10,"WL"
"M",0,0,-0.3521,8.3092,0.08224,,93.5,,,12.1187693,12.31312548,12.62473383,,13.18167788,13.86025986,14.61149059,,15.35982164,15.84498667,16.17661055,10.1,"WL"
"M",0,0,-0.3521,8.4227,0.08229,,94.5,,,12.33079298,12.52772045,12.84375146,,13.40955269,14.10065234,14.86806787,,15.63507513,16.13376622,16.47529604,10.3,"WL"
"M",0,0,-0.3521,8.5358,0.08235,,95.5,,,12.54591071,12.74530738,13.06564953,,13.64028082,14.34419522,15.12860179,,15.91565257,16.42909034,16.78152407,10.4,"WL"
"M",0,0,-0.3521,8.648,0.08241,,96.5,,,12.76441819,12.9661743,13.29070461,,13.87412402,14.59115139,15.39339911,,16.20197359,16.73150285,17.09595206,10.5,"WL"
"M",0,0,-0.3521,8.7594,0.08248,,97.5,,,12.98660961,13.19060724,13.5191898,,14.11133652,14.84177007,15.66274835,,16.494444,17.04154573,17.41925008,10.7,"WL"
"M",0,0,-0.3521,8.8697,0.08254,,98.5,,,13.21277431,13.41888786,13.75137383,,14.3521657,15.0962879,15.93691963,,16.79345342,17.35975605,17.75209809,10.8,"WL"
"M",0,0,-0.3521,8.9788,0.08262,,99.5,,,13.44319598,13.65129272,13.98752021,,14.59685108,15.35492729,16.21616173,,17.09937174,17.68666374,18.09518631,11,"WL"
"M",0,0,-0.3521,9.0865,0.08269,,100.5,,,13.67814897,13.88809057,14.22788616,,14.8456253,15.61789822,16.50070256,,17.41254676,18.02278798,18.44921206,11.1,"WL"
"M",0,0,-0.3521,9.1927,0.08276,,101.5,,,13.91789949,14.12954284,14.47272193,,15.09871195,15.88539464,16.79074422,,17.73329941,18.36863542,18.81488277,11.2,"WL"
"M",0,0,-0.3521,9.2974,0.08283,,102.5,,,14.16269719,14.37589784,14.722269,,15.35632936,16.15760201,17.08646948,,18.06192364,18.72469422,19.19290687,11.4,"WL"
"M",0,0,-0.3521,9.401,0.08289,,103.5,,,14.41277633,14.62739094,14.97675902,,15.61868832,16.43469418,17.38803782,,18.39868195,19.09143177,19.58399633,11.5,"WL"
"F",0,0,-0.3833,2.4607,0.09029,,45,,,1.61302626,1.69530853,1.824644762,,2.047707671,2.305396985,2.573066177,,2.822211988,2.974943903,3.075559629,3.1,"WL"
"F",0,0,-0.3833,2.5457,0.09033,,45.5,,,1.723754478,1.805222631,1.932850514,,2.151843669,2.403256702,2.662835955,,2.90317596,3.049956403,3.146436315,3.2,"WL"
"F",0,0,-0.3833,2.6306,0.09037,,46.5,,,1.946460733,2.026496007,2.151303478,,2.363960397,2.606020484,2.853889995,,3.081735239,3.220172553,3.310892709,3.3,"WL"
"F",0,0,-0.3833,2.7155,0.0904,,47.5,,,2.170805299,2.249554961,2.37216013,,2.580564792,2.817114082,3.058703241,,3.280280685,3.414702479,3.502712567,3.4,"WL"
"F",0,0,-0.3833,2.8007,0.09044,,48.5,,,2.396673878,2.474214132,2.595089193,,2.80098615,3.035356101,3.275451769,,3.496304856,3.630584823,3.718622563,3.5,"WL"
"F",0,0,-0.3833,2.8867,0.09048,,49.5,,,2.623845869,2.700266794,2.819827425,,3.024685576,3.259693318,3.502419401,,3.72742595,3.865029598,3.955569802,3.6,"WL"
"F",0,0,-0.3833,2.9741,0.09052,,50.5,,,2.852008338,2.92747924,3.046162798,,3.251250865,3.48922017,3.738025406,,3.971395567,4.115400222,4.210681986,3.7,"WL"
"F",0,0,-0.3833,3.0636,0.09056,,51.5,,,3.08077988,3.155581427,3.273900839,,3.480372197,3.723195489,3.980867931,,4.2261236,4.37920066,4.481218409,3.8,"WL"
"F",0,0,-0.3833,3.156,0.0906,,52.5,,,3.309743456,3.384266533,3.502832371,,3.71180166,3.961034945,4.229754129,,4.489708217,4.654076004,4.76453627,3.9,"WL"
"F",0,0,-0.3833,3.252,0.09064,,53.5,,,3.538486235,3.613206007,3.732716377,,3.945306087,4.202270022,4.483693775,,4.760455514,4.937828528,5.058090815,4.1,"WL"
"F",0,0,-0.3833,3.3518,0.09068,,54.5,,,3.766648425,3.842082114,3.963283111,,4.180622529,4.446476028,4.741844038,,5.036873117,5.228445091,5.359480791,4.2,"WL"
"F",0,0,-0.3833,3.4557,0.09072,,55.5,,,3.99394852,4.070613878,4.194251416,,4.417443974,4.693220151,5.003447846,,5.317643817,5.524112903,5.666497508,4.3,"WL"
"F",0,0,-0.3833,3.5636,0.09076,,56.5,,,4.22019582,4.298576091,4.425349217,,4.65542253,4.942029343,5.267777008,,5.601587401,5.823223715,5.977171656,4.4,"WL"
"F",0,0,-0.3833,3.6754,0.0908,,57.5,,,4.445271101,4.525795306,4.656327074,,4.894194501,5.192403337,5.534118638,,5.887634175,6.124358847,6.289778737,4.6,"WL"
"F",0,0,-0.3833,3.7911,0.09085,,58.5,,,4.669110719,4.75214371,4.886964606,,5.133398784,5.443830096,5.801772695,,6.174806785,6.426273604,6.602835746,4.7,"WL"
"F",0,0,-0.3833,3.9105,0.09089,,59.5,,,4.891682562,4.977524782,5.117070202,,5.372695342,5.69581328,6.070070759,,6.462216757,6.72787876,6.91507564,4.9,"WL"
"F",0,0,-0.3833,4.0332,0.09093,,60.5,,,5.112971092,5.201863101,5.34647836,,5.611774363,5.947889759,6.33839139,,6.749065162,7.028227249,7.225424353,5,"WL"
"F",0,0,-0.3833,4.1591,0.09098,,61.5,,,5.332968047,5.42509726,5.57504651,,5.850360248,6.199640267,6.606171625,,7.034644746,7.326504329,7.532980555,5.2,"WL"
"F",0,0,-0.3833,4.2875,0.09102,,62.5,,,5.551666409,5.64717487,5.80265208,,6.088213081,6.450695818,6.872915135,,7.318342,7.622019771,7.836997958,5.3,"WL"
"F",0,0,-0.3833,4.4179,0.09106,,63.5,,,5.769060531,5.868051772,6.029190763,,6.325126546,6.700736725,7.138192567,,7.59963607,7.914202723,8.136875366,5.5,"WL"
"F",0,0,-0.3833,4.5498,0.0911,,64.5,,,5.985144406,6.08769022,6.254574837,,6.560927184,6.949493534,7.401643498,,7.878098236,8.202595917,8.432144771,5.7,"WL"
"F",0,0,-0.3833,4.6827,0.09114,,65.5,,,6.199912645,6.306059022,6.478732239,,6.795472337,7.196744733,7.662974516,,8.15338936,8.486850867,8.722463522,5.8,"WL"
"F",0,0,-0.3833,4.8162,0.09118,,66.5,,,6.413361985,6.523134146,6.701605945,,7.028648027,7.442313819,7.921956215,,8.425256531,8.766723181,9.00760766,6,"WL"
"F",0,0,-0.3833,4.95,0.09121,,67.5,,,6.625492182,6.738899009,6.923153436,,7.260367355,7.686067039,8.17842062,,8.693529674,9.04206755,9.287464886,6.2,"WL"
"F",0,0,-0.3833,5.0837,0.09125,,68.5,,,6.836308446,6.953345818,7.143346471,,7.49056809,7.92790936,8.432256562,,8.958117069,9.312833279,9.562029761,6.3,"WL"
"F",0,0,-0.3833,5.2173,0.09128,,69.5,,,7.045821054,7.166475096,7.362170518,,7.719212002,8.167783677,8.683408324,,9.219002186,9.579058661,9.831395513,6.5,"WL"
"F",0,0,-0.3833,5.3507,0.0913,,70.5,,,7.254047943,7.378297165,7.579624634,,7.946282454,8.405666621,8.931870645,,9.47623884,9.840866488,10.09574977,6.7,"WL"
"F",0,0,-0.3833,5.4834,0.09132,,71.5,,,7.461015613,7.588832522,7.795721098,,8.171783008,8.641566305,9.177685743,,9.729947188,10.09845888,10.35536822,6.8,"WL"
"F",0,0,-0.3833,5.6151,0.09134,,72.5,,,7.666760352,7.798112411,8.010485082,,8.395735838,8.875519723,9.420939935,,9.980309503,10.3521122,10.61060874,7,"WL"
"F",0,0,-0.3833,5.7454,0.09135,,73.5,,,7.871329398,8.006179356,8.223954294,,8.61818018,9.107590221,9.661760324,,10.22756595,10.60217203,10.86190554,7.2,"WL"
"F",0,0,-0.3833,5.8742,0.09136,,74.5,,,8.07478203,8.213087629,8.436178609,,8.839170822,9.337865054,9.900311537,,10.47201035,10.84904795,11.10976332,7.3,"WL"
"F",0,0,-0.3833,6.0014,0.09137,,75.5,,,8.277190538,8.418903651,8.647219687,,9.05877667,9.566453061,10.13679255,,10.7139859,11.09320847,11.35475136,7.5,"WL"
"F",0,0,-0.3833,6.127,0.09137,,76.5,,,8.478641037,8.623706299,8.857150596,,9.277079452,9.793482492,10.37143354,,10.95388092,11.33517576,11.59749766,7.6,"WL"
"F",0,0,-0.3833,6.2511,0.09136,,77.5,,,8.679234065,8.82758712,9.066055489,,9.494172583,10.01909902,10.60449286,,11.19212443,11.57552036,11.83868308,7.8,"WL"
"F",0,0,-0.3833,6.3738,0.09135,,78.5,,,8.879084281,9.03065003,9.274029292,,9.710160711,10.24346467,10.83625465,,11.42918192,11.81485555,12.07903468,8,"WL"
"F",0,0,-0.3833,6.4948,0.09133,,79.5,,,9.078322619,9.233012616,9.481177715,,9.925157686,10.46675386,11.06702353,,11.66554993,12.05383282,12.3193224,8.1,"WL"
"F",0,0,-0.3833,6.6144,0.09131,,80.5,,,9.277093118,9.434804244,9.68761705,,10.13928821,10.6891553,11.29712459,,11.90175234,12.29313502,12.56034996,8.3,"WL"
"F",0,0,-0.3833,6.7328,0.09129,,81.5,,,9.475553729,9.636166759,9.893474476,,10.35268693,10.91086924,11.52689868,,12.13833477,12.53347134,12.80295084,8.4,"WL"
"F",0,0,-0.3833,6.8501,0.09126,,82.5,,,9.673874713,9.837253816,10.0988884,,10.56549933,11.13210717,11.75669976,,12.37585953,12.77557129,13.04798203,8.5,"WL"
"F",0,0,-0.3833,6.9662,0.09123,,83.5,,,9.872236954,10.03823028,10.30400903,,10.77788274,11.35309164,11.98689198,,12.61490029,13.02017859,13.29631805,8.7,"WL"
"F",0,0,-0.3833,7.0812,0.09119,,84.5,,,10.07082987,10.2392715,10.50899902,,10.9900078,11.57405623,12.21784683,,12.85603662,13.26804494,13.54884494,8.8,"WL"
"F",0,0,-0.3833,7.195,0.09115,,85.5,,,10.26984825,10.44056188,10.71403421,,11.20206069,11.79524697,12.44994139,,13.0998487,13.51992325,13.80645301,9,"WL"
"F",0,0,-0.3833,7.3076,0.0911,,86.5,,,10.46949211,10.64229536,10.9193044,,11.41424337,12.0169203,12.68355339,,13.346911,13.77656207,14.07003317,9.1,"WL"
"F",0,0,-0.3833,7.4189,0.09106,,87.5,,,10.66996042,10.84467191,11.12501362,,11.62677789,12.23934838,12.91906338,,13.59778826,14.03869722,14.3404656,9.3,"WL"
"F",0,0,-0.3833,7.5288,0.09101,,88.5,,,10.87145032,11.04789724,11.33138025,,11.83990685,12.46281861,13.15685175,,13.85303006,14.3070456,14.61861423,9.4,"WL"
